strain_entity_id,canonical_genome_path,total_bp,contigs,largest_contig_bp,skani_compatible,exclusion_reason,learned_nearclone_block,raw_nearclone_block,FINAL_nearclone_99_5_block,learned_lineage95_block,raw_lineage95_block,FINAL_lineage_95_block
STRAIN_000017,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000017.fa.gz,2009973,1,2009973,True,,LNC_0001,RNC_0002,NC_0002,LANI95_0010,RANI95_0010,ANI95_0010
STRAIN_000018,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000018.fa.gz,2397171,13,540387,True,,LNC_0027,RNC_0027,NC_0027,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000019,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000019.fa.gz,2398181,21,527990,True,,LNC_0027,RNC_0027,NC_0027,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000020,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000020.fa.gz,2448259,174,327963,True,,LNC_0027,RNC_0027,NC_0027,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000021,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000021.fa.gz,2417279,170,197754,True,,LNC_0027,RNC_0027,NC_0027,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000022,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000022.fa.gz,2237293,17,615733,True,,LNC_0034,RNC_0035,NC_0035,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000023,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000023.fa.gz,2235932,28,731416,True,,LNC_0115,RNC_0109,NC_0109,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000024,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000024.fa.gz,2261666,1,2261666,True,,LNC_0116,RNC_0110,NC_0110,LANI95_0013,RANI95_0013,ANI95_0013
STRAIN_000025,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000025.fa.gz,3267387,5,3096468,True,,LNC_0006,RNC_0008,NC_0008,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000026,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000026.fa.gz,2573636,29,495401,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000027,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000027.fa.gz,2568669,67,291975,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000028,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000028.fa.gz,3685082,2,3612790,True,,LNC_0117,RNC_0111,NC_0111,LANI95_0029,RANI95_0030,ANI95_0030
STRAIN_000029,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000029.fa.gz,1965390,19,676265,True,,LNC_0001,RNC_0002,NC_0002,LANI95_0010,RANI95_0010,ANI95_0010
STRAIN_000030,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000030.fa.gz,2770240,1,2770240,True,,LNC_0048,RNC_0045,NC_0045,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000031,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000031.fa.gz,2318552,42,277638,True,,LNC_0118,RNC_0112,NC_0112,LANI95_0009,RANI95_0009,ANI95_0009
STRAIN_000032,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000032.fa.gz,1746296,168,71795,True,,LNC_0119,RNC_0113,NC_0113,LANI95_0011,RANI95_0011,ANI95_0011
STRAIN_000033,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000033.fa.gz,2483413,7,2096356,True,,LNC_0070,RNC_0065,NC_0065,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000034,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000034.fa.gz,2362026,1,2362026,True,,LNC_0120,RNC_0114,NC_0114,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000035,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000035.fa.gz,3304830,45,533836,True,,LNC_0071,RNC_0066,NC_0066,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000036,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000036.fa.gz,3269344,34,866323,True,,LNC_0072,RNC_0067,NC_0067,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000037,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000037.fa.gz,3258425,100,315737,True,,LNC_0049,RNC_0046,NC_0046,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000038,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000038.fa.gz,3574108,230,267423,True,,LNC_0007,RNC_0006,NC_0006,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000039,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000039.fa.gz,3139331,76,675170,True,,LNC_0008,RNC_0009,NC_0009,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000040,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000040.fa.gz,3281998,111,263633,True,,LNC_0121,RNC_0115,NC_0115,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000041,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000041.fa.gz,3256146,202,231111,True,,LNC_0008,RNC_0009,NC_0009,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000042,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000042.fa.gz,3122460,109,252431,True,,LNC_0008,RNC_0009,NC_0009,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000043,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000043.fa.gz,2245287,584,30179,True,,LNC_0122,RNC_0116,NC_0116,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000044,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000044.fa.gz,1539439,144,68089,True,,LNC_0123,RNC_0117,NC_0117,LANI95_0021,RANI95_0021,ANI95_0021
STRAIN_000045,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000045.fa.gz,2604558,1,2604558,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000046,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000046.fa.gz,2612005,1,2612005,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000047,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000047.fa.gz,2604549,1,2604549,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000048,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000048.fa.gz,2758198,1,2758198,True,,LNC_0048,RNC_0045,NC_0045,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000049,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000049.fa.gz,2609031,1,2609031,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000050,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000050.fa.gz,2604570,1,2604570,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000051,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000051.fa.gz,2612382,1,2612382,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000052,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000052.fa.gz,2604585,1,2604585,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000053,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000053.fa.gz,2614802,1,2614802,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000054,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000054.fa.gz,2598286,1,2598286,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000055,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000055.fa.gz,2610477,1,2610477,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000056,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000056.fa.gz,2933041,41,363117,True,,LNC_0004,RNC_0005,NC_0005,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000057,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000057.fa.gz,2833095,8,2555628,True,,LNC_0124,RNC_0118,NC_0118,LANI95_0008,RANI95_0008,ANI95_0008
STRAIN_000058,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000058.fa.gz,1589543,527,10427,True,,LNC_0125,RNC_0119,NC_0119,LANI95_0030,RANI95_0031,ANI95_0031
STRAIN_000059,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000059.fa.gz,1950129,572,14879,True,,LNC_0126,RNC_0120,NC_0120,LANI95_0031,RANI95_0032,ANI95_0032
STRAIN_000060,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000060.fa.gz,3319661,79,314556,True,,LNC_0006,RNC_0008,NC_0008,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000061,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000061.fa.gz,1137575,512,14288,True,,LNC_0127,RNC_0121,NC_0121,LANI95_0032,RANI95_0033,ANI95_0033
STRAIN_000062,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000062.fa.gz,2268931,1,2268931,True,,LNC_0036,RNC_0037,NC_0037,LANI95_0012,RANI95_0012,ANI95_0012
STRAIN_000063,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000063.fa.gz,2190360,466,671042,True,,LNC_0001,RNC_0002,NC_0002,LANI95_0010,RANI95_0010,ANI95_0010
STRAIN_000064,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000064.fa.gz,1919017,16,335668,True,,LNC_0128,RNC_0122,NC_0122,LANI95_0008,RANI95_0008,ANI95_0008
STRAIN_000065,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000065.fa.gz,1365639,340,15340,True,,LNC_0129,RNC_0123,NC_0123,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000066,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000066.fa.gz,3247661,3,3191749,True,,LNC_0006,RNC_0008,NC_0008,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000067,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000067.fa.gz,2865742,331,38298,True,,LNC_0017,RNC_0019,NC_0019,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000068,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000068.fa.gz,3173258,458,79393,True,,LNC_0003,RNC_0003,NC_0003,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000069,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000069.fa.gz,1896799,233,47878,True,,LNC_0001,RNC_0002,NC_0002,LANI95_0010,RANI95_0010,ANI95_0010
STRAIN_000070,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000070.fa.gz,2966912,6,2939598,True,,LNC_0073,RNC_0068,NC_0068,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000071,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000071.fa.gz,1990372,117,80692,True,,LNC_0130,RNC_0124,NC_0124,LANI95_0010,RANI95_0010,ANI95_0010
STRAIN_000072,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000072.fa.gz,2115420,134,123435,True,,LNC_0131,RNC_0125,NC_0125,LANI95_0010,RANI95_0010,ANI95_0010
STRAIN_000073,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000073.fa.gz,1948634,96,162566,True,,LNC_0132,RNC_0126,NC_0126,LANI95_0008,RANI95_0008,ANI95_0008
STRAIN_000074,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000074.fa.gz,1499598,190,39836,True,,LNC_0133,RNC_0127,NC_0127,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000075,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000075.fa.gz,2018725,220,70709,True,,LNC_0134,RNC_0128,NC_0128,LANI95_0005,RANI95_0005,ANI95_0005
STRAIN_000076,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000076.fa.gz,2205182,963,99568,True,,LNC_0074,RNC_0069,NC_0069,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000077,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000077.fa.gz,2206088,23,487798,True,,LNC_0075,RNC_0070,NC_0070,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000078,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000078.fa.gz,2320602,41,463050,True,,LNC_0050,RNC_0047,NC_0047,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000079,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000079.fa.gz,2518893,97,255564,True,,LNC_0135,RNC_0129,NC_0129,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000080,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000080.fa.gz,2341089,52,270682,True,,LNC_0136,RNC_0130,NC_0130,LANI95_0015,RANI95_0015,ANI95_0015
STRAIN_000081,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000081.fa.gz,2568911,158,166210,True,,LNC_0051,RNC_0048,NC_0048,LANI95_0015,RANI95_0015,ANI95_0015
STRAIN_000082,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000082.fa.gz,1995954,230,45127,True,,LNC_0137,RNC_0131,NC_0131,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000083,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000083.fa.gz,1695715,203,62050,True,,LNC_0138,RNC_0132,NC_0132,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000084,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000084.fa.gz,985879,307,13714,True,,LNC_0139,RNC_0133,NC_0133,LANI95_0033,RANI95_0034,ANI95_0034
STRAIN_000085,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000085.fa.gz,1586369,154,64896,True,,LNC_0140,RNC_0134,NC_0134,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000086,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000086.fa.gz,2009197,138,75224,True,,LNC_0141,RNC_0135,NC_0135,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000087,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000087.fa.gz,1482430,290,49314,True,,LNC_0142,RNC_0136,NC_0136,LANI95_0034,RANI95_0035,ANI95_0035
STRAIN_000088,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000088.fa.gz,1400009,406,16451,True,,LNC_0143,RNC_0137,NC_0137,LANI95_0035,RANI95_0036,ANI95_0036
STRAIN_000089,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000089.fa.gz,1181499,471,19256,True,,LNC_0144,RNC_0138,NC_0138,LANI95_0036,RANI95_0037,ANI95_0037
STRAIN_000090,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000090.fa.gz,2844791,55,195899,True,,LNC_0014,RNC_0015,NC_0015,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000091,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000091.fa.gz,2912376,14,677243,True,,LNC_0004,RNC_0005,NC_0005,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000092,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000092.fa.gz,3376637,8,3107237,True,,LNC_0037,RNC_0006,NC_0006,LANI95_0001,RANI95_0001,ANI95_0001
STRAIN_000093,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000093.fa.gz,904426,356,7587,True,,LNC_0145,RNC_0139,NC_0139,LANI95_0037,RANI95_0038,ANI95_0038
STRAIN_000094,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000094.fa.gz,1222730,393,11778,True,,LNC_0146,RNC_0140,NC_0140,LANI95_0038,RANI95_0039,ANI95_0039
STRAIN_000095,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000095.fa.gz,2396359,114,630786,True,,LNC_0147,RNC_0141,NC_0141,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000096,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000096.fa.gz,4641652,1,4641652,True,,LNC_0148,RNC_0142,NC_0142,LANI95_0024,RANI95_0024,ANI95_0024
STRAIN_000097,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000097.fa.gz,6264404,1,6264404,True,,LNC_0149,RNC_0143,NC_0143,LANI95_0039,RANI95_0040,ANI95_0040
STRAIN_000098,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000098.fa.gz,2365589,1,2365589,True,,LNC_0018,RNC_0016,NC_0016,LANI95_0008,RANI95_0008,ANI95_0008
STRAIN_000099,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000099.fa.gz,6691694,3,3654135,True,,LNC_0150,RNC_0144,NC_0144,LANI95_0040,RANI95_0041,ANI95_0041
STRAIN_000100,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000100.fa.gz,2260266,2,2256640,True,,LNC_0151,RNC_0145,NC_0145,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000101,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000101.fa.gz,1992676,1,1992676,True,,LNC_0152,RNC_0146,NC_0146,LANI95_0041,RANI95_0042,ANI95_0042
STRAIN_000102,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000102.fa.gz,2133977,4,1827111,True,,LNC_0153,RNC_0147,NC_0147,LANI95_0025,RANI95_0025,ANI95_0025
STRAIN_000103,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000103.fa.gz,2389526,3,2375792,True,,LNC_0154,RNC_0148,NC_0148,LANI95_0002,RANI95_0002,ANI95_0002
STRAIN_000104,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000104.fa.gz,4215606,1,4215606,True,,LNC_0011,RNC_0012,NC_0012,LANI95_0014,RANI95_0014,ANI95_0014
STRAIN_000105,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000105.fa.gz,2529478,1,2529478,True,,LNC_0051,RNC_0048,NC_0048,LANI95_0015,RANI95_0015,ANI95_0015
STRAIN_000106,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000106.fa.gz,4303871,1,4303871,True,,LNC_0155,RNC_0149,NC_0149,LANI95_0042,RANI95_0043,ANI95_0043
STRAIN_000107,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000107.fa.gz,2039414,1,2039414,True,,LNC_0025,RNC_0024,NC_0024,LANI95_0006,RANI95_0006,ANI95_0006
STRAIN_000108,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000108.fa.gz,2098685,1,2098685,True,,LNC_0156,RNC_0028,NC_0028,LANI95_0005,RANI95_0005,ANI95_0005
STRAIN_000109,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000109.fa.gz,2089645,1,2089645,True,,LNC_0157,RNC_0150,NC_0150,LANI95_0016,RANI95_0016,ANI95_0016
STRAIN_000110,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000110.fa.gz,5369772,1,5369772,True,,LNC_0158,RNC_0151,NC_0151,LANI95_0043,RANI95_0044,ANI95_0044
STRAIN_000111,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000111.fa.gz,7599738,7,3311395,True,,LNC_0159,RNC_0152,NC_0152,LANI95_0044,RANI95_0045,ANI95_0045
STRAIN_000112,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000112.fa.gz,3005051,1,3005051,True,,LNC_0014,RNC_0015,NC_0015,LANI95_0003,RANI95_0003,ANI95_0003
STRAIN_000113,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000113.fa.gz,9105828,1,9105828,True,,LNC_0160,RNC_0153,NC_0153,LANI95_0045,RANI95_0046,ANI95_0046
STRAIN_000114,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000114.fa.gz,1796846,1,1796846,True,,LNC_0161,RNC_0029,NC_0029,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000115,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000115.fa.gz,1796226,1,1796226,True,,LNC_0038,RNC_0029,NC_0029,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000116,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000116.fa.gz,4602977,7,3188524,True,,LNC_0162,RNC_0154,NC_0154,LANI95_0046,RANI95_0047,ANI95_0047
STRAIN_000117,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000117.fa.gz,5433628,1,5433628,True,,LNC_0163,RNC_0155,NC_0155,LANI95_0047,RANI95_0048,ANI95_0048
STRAIN_000118,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000118.fa.gz,1780517,1,1780517,True,,LNC_0164,RNC_0156,NC_0156,LANI95_0048,RANI95_0049,ANI95_0049
STRAIN_000119,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000119.fa.gz,1856951,1,1856951,True,,LNC_0165,RNC_0157,NC_0157,LANI95_0019,RANI95_0019,ANI95_0019
STRAIN_000120,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000120.fa.gz,1894360,1,1894360,True,,LNC_0166,RNC_0158,NC_0158,LANI95_0021,RANI95_0021,ANI95_0021
STRAIN_000121,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000121.fa.gz,2075763,2,2038396,True,,LNC_0167,RNC_0159,NC_0159,LANI95_0049,RANI95_0050,ANI95_0050
STRAIN_000122,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000122.fa.gz,2340228,3,2291220,True,,LNC_0028,RNC_0030,NC_0030,LANI95_0009,RANI95_0009,ANI95_0009
STRAIN_000123,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000123.fa.gz,1864178,3,1856368,True,,LNC_0052,RNC_0007,NC_0007,LANI95_0007,RANI95_0007,ANI95_0007
STRAIN_000124,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000124.fa.gz,1832387,1,1832387,True,,LNC_0168,RNC_0160,NC_0160,LANI95_0027,RANI95_0027,ANI95_0027
