strain_entity_id,canonical_genome_path,total_bp,contigs,largest_contig_bp,skani_compatible,exclusion_reason
STRAIN_000042,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000042.fa.gz,3122460,109,252431,True,
STRAIN_000043,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000043.fa.gz,2245287,584,30179,True,
STRAIN_000044,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000044.fa.gz,1539439,144,68089,True,
STRAIN_000045,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000045.fa.gz,2604558,1,2604558,True,
STRAIN_000046,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000046.fa.gz,2612005,1,2612005,True,
STRAIN_000047,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000047.fa.gz,2604549,1,2604549,True,
STRAIN_000048,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000048.fa.gz,2758198,1,2758198,True,
STRAIN_000049,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000049.fa.gz,2609031,1,2609031,True,
STRAIN_000050,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000050.fa.gz,2604570,1,2604570,True,
STRAIN_000051,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000051.fa.gz,2612382,1,2612382,True,
STRAIN_000052,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000052.fa.gz,2604585,1,2604585,True,
STRAIN_000053,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000053.fa.gz,2614802,1,2614802,True,
STRAIN_000054,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000054.fa.gz,2598286,1,2598286,True,
STRAIN_000055,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000055.fa.gz,2610477,1,2610477,True,
STRAIN_000056,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000056.fa.gz,2933041,41,363117,True,
STRAIN_000057,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000057.fa.gz,2833095,8,2555628,True,
STRAIN_000058,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000058.fa.gz,1589543,527,10427,True,
STRAIN_000059,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000059.fa.gz,1950129,572,14879,True,
STRAIN_000060,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000060.fa.gz,3319661,79,314556,True,
STRAIN_000061,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000061.fa.gz,1137575,512,14288,True,
STRAIN_000062,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000062.fa.gz,2268931,1,2268931,True,
STRAIN_000063,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000063.fa.gz,2190360,466,671042,True,
STRAIN_000064,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000064.fa.gz,1919017,16,335668,True,
STRAIN_000065,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000065.fa.gz,1365639,340,15340,True,
STRAIN_000066,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000066.fa.gz,3247661,3,3191749,True,
STRAIN_000067,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000067.fa.gz,2865742,331,38298,True,
STRAIN_000068,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000068.fa.gz,3173258,458,79393,True,
STRAIN_000069,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000069.fa.gz,1896799,233,47878,True,
STRAIN_000070,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000070.fa.gz,2966912,6,2939598,True,
STRAIN_000071,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000071.fa.gz,1990372,117,80692,True,
STRAIN_000072,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000072.fa.gz,2115420,134,123435,True,
STRAIN_000073,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000073.fa.gz,1948634,96,162566,True,
STRAIN_000074,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000074.fa.gz,1499598,190,39836,True,
STRAIN_000075,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000075.fa.gz,2018725,220,70709,True,
STRAIN_000076,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000076.fa.gz,2205182,963,99568,True,
STRAIN_000077,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000077.fa.gz,2206088,23,487798,True,
STRAIN_000078,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000078.fa.gz,2320602,41,463050,True,
STRAIN_000079,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000079.fa.gz,2518893,97,255564,True,
STRAIN_000080,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000080.fa.gz,2341089,52,270682,True,
STRAIN_000081,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000081.fa.gz,2568911,158,166210,True,
STRAIN_000082,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000082.fa.gz,1995954,230,45127,True,
STRAIN_000083,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000083.fa.gz,1695715,203,62050,True,
STRAIN_000084,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000084.fa.gz,985879,307,13714,True,
STRAIN_000085,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000085.fa.gz,1586369,154,64896,True,
STRAIN_000086,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000086.fa.gz,2009197,138,75224,True,
STRAIN_000087,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000087.fa.gz,1482430,290,49314,True,
STRAIN_000088,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000088.fa.gz,1400009,406,16451,True,
STRAIN_000089,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000089.fa.gz,1181499,471,19256,True,
STRAIN_000090,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000090.fa.gz,2844791,55,195899,True,
STRAIN_000091,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000091.fa.gz,2912376,14,677243,True,
STRAIN_000092,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000092.fa.gz,3376637,8,3107237,True,
STRAIN_000093,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000093.fa.gz,904426,356,7587,True,
STRAIN_000094,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000094.fa.gz,1222730,393,11778,True,
STRAIN_000095,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000095.fa.gz,2396359,114,630786,True,
STRAIN_000096,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000096.fa.gz,4641652,1,4641652,True,
STRAIN_000097,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000097.fa.gz,6264404,1,6264404,True,
STRAIN_000098,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000098.fa.gz,2365589,1,2365589,True,
STRAIN_000099,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000099.fa.gz,6691694,3,3654135,True,
STRAIN_000100,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000100.fa.gz,2260266,2,2256640,True,
STRAIN_000101,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000101.fa.gz,1992676,1,1992676,True,
STRAIN_000102,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000102.fa.gz,2133977,4,1827111,True,
STRAIN_000103,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000103.fa.gz,2389526,3,2375792,True,
STRAIN_000104,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000104.fa.gz,4215606,1,4215606,True,
STRAIN_000105,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000105.fa.gz,2529478,1,2529478,True,
STRAIN_000106,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000106.fa.gz,4303871,1,4303871,True,
STRAIN_000107,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000107.fa.gz,2039414,1,2039414,True,
STRAIN_000108,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000108.fa.gz,2098685,1,2098685,True,
STRAIN_000109,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000109.fa.gz,2089645,1,2089645,True,
STRAIN_000110,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000110.fa.gz,5369772,1,5369772,True,
STRAIN_000111,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000111.fa.gz,7599738,7,3311395,True,
STRAIN_000112,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000112.fa.gz,3005051,1,3005051,True,
STRAIN_000113,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000113.fa.gz,9105828,1,9105828,True,
STRAIN_000114,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000114.fa.gz,1796846,1,1796846,True,
STRAIN_000115,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000115.fa.gz,1796226,1,1796226,True,
STRAIN_000116,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000116.fa.gz,4602977,7,3188524,True,
STRAIN_000117,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000117.fa.gz,5433628,1,5433628,True,
STRAIN_000118,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000118.fa.gz,1780517,1,1780517,True,
STRAIN_000119,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000119.fa.gz,1856951,1,1856951,True,
STRAIN_000120,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000120.fa.gz,1894360,1,1894360,True,
STRAIN_000121,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000121.fa.gz,2075763,2,2038396,True,
STRAIN_000122,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000122.fa.gz,2340228,3,2291220,True,
STRAIN_000123,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000123.fa.gz,1864178,3,1856368,True,
STRAIN_000124,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000124.fa.gz,1832387,1,1832387,True,
STRAIN_000125,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000125.fa.gz,2924325,2,2895264,True,
STRAIN_000126,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000126.fa.gz,2598348,6,2438589,True,
STRAIN_000127,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000127.fa.gz,2080931,1,2080931,True,
STRAIN_000128,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000128.fa.gz,4676461,2,4518712,True,
STRAIN_000129,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000129.fa.gz,1999618,1,1999618,True,
STRAIN_000130,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000130.fa.gz,4817463,2,4639821,True,
STRAIN_000131,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000131.fa.gz,2846746,1,2846746,True,
STRAIN_000132,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000132.fa.gz,2898456,2,2861969,True,
STRAIN_000133,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000133.fa.gz,5957605,1,5957605,True,
STRAIN_000134,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000134.fa.gz,2664102,1,2664102,True,
STRAIN_000135,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000135.fa.gz,2832748,1,2832748,True,
STRAIN_000136,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000136.fa.gz,3914947,2,3887492,True,
STRAIN_000137,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000137.fa.gz,1933695,1,1933695,True,
STRAIN_000138,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000138.fa.gz,1938709,1,1938709,True,
STRAIN_000139,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000139.fa.gz,1938483,1,1938483,True,
STRAIN_000140,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000140.fa.gz,3197759,1,3197759,True,
STRAIN_000141,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000141.fa.gz,2501097,1,2501097,True,
STRAIN_000142,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000142.fa.gz,7184930,1,7184930,True,
STRAIN_000143,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000143.fa.gz,2636367,1,2636367,True,
STRAIN_000144,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000144.fa.gz,2635654,2,2598144,True,
STRAIN_000145,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000145.fa.gz,1944152,1,1944152,True,
STRAIN_000146,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000146.fa.gz,4727255,3,4296230,True,
STRAIN_000147,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000147.fa.gz,5241700,2,5205140,True,
STRAIN_000148,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000148.fa.gz,4067864,6,3883467,True,
STRAIN_000149,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000149.fa.gz,3079196,1,3079196,True,
STRAIN_000150,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000150.fa.gz,3010111,1,3010111,True,
STRAIN_000151,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000151.fa.gz,3033106,2,2968598,True,
STRAIN_000152,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000152.fa.gz,3598621,1,3598621,True,
STRAIN_000153,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000153.fa.gz,1864998,1,1864998,True,
STRAIN_000154,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000154.fa.gz,2616384,1,2616384,True,
STRAIN_000155,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000155.fa.gz,2477838,1,2477838,True,
STRAIN_000156,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000156.fa.gz,1944050,1,1944050,True,
STRAIN_000157,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000157.fa.gz,2530294,1,2530294,True,
STRAIN_000158,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000158.fa.gz,2136138,4,1828169,True,
STRAIN_000159,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000159.fa.gz,3212261,9,693713,True,
STRAIN_000160,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000160.fa.gz,7025559,1,7025559,True,
STRAIN_000161,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000161.fa.gz,2645781,10,2431709,True,
STRAIN_000162,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000162.fa.gz,3307936,2,3254376,True,
STRAIN_000163,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000163.fa.gz,2389110,40,994221,True,
STRAIN_000164,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000164.fa.gz,4227134,4,3821831,True,
STRAIN_000165,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000165.fa.gz,4187615,1,4187615,True,
STRAIN_000166,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000166.fa.gz,4214643,1,4214643,True,
STRAIN_000167,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000167.fa.gz,2202695,9,1497472,True,
STRAIN_000168,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000168.fa.gz,3025352,3,2939026,True,
STRAIN_000169,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000169.fa.gz,2331386,103,1384428,True,
STRAIN_000170,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000170.fa.gz,1867005,74,342590,True,
STRAIN_000171,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000171.fa.gz,2017251,32,747243,True,
STRAIN_000172,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000172.fa.gz,2316838,5,2264399,True,
STRAIN_000173,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000173.fa.gz,2020500,38,1227701,True,
STRAIN_000174,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000174.fa.gz,2015721,95,795806,True,
STRAIN_000175,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000175.fa.gz,2186882,1,2186882,True,
STRAIN_000176,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000176.fa.gz,2129206,1,2129206,True,
STRAIN_000177,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000177.fa.gz,2364583,25,477166,True,
STRAIN_000178,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000178.fa.gz,2214656,1,2214656,True,
STRAIN_000179,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000179.fa.gz,2265943,1,2265943,True,
STRAIN_000180,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000180.fa.gz,2305557,2,1576206,True,
STRAIN_000181,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000181.fa.gz,2992972,2,2961421,True,
STRAIN_000182,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000182.fa.gz,6312783,6,4368708,True,
STRAIN_000183,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000183.fa.gz,2131976,2,2125753,True,
STRAIN_000184,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000184.fa.gz,1831949,1,1831949,True,
STRAIN_000185,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000185.fa.gz,4292969,80,4214598,True,
STRAIN_000186,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000186.fa.gz,5614252,3,4864217,True,
STRAIN_000187,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000187.fa.gz,2172383,2,2145899,True,
STRAIN_000188,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000188.fa.gz,1872918,1,1872918,True,
STRAIN_000189,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000189.fa.gz,2518737,6,2399458,True,
STRAIN_000190,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000190.fa.gz,3127288,2,3069926,True,
STRAIN_000191,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000191.fa.gz,3077434,2,3039042,True,
STRAIN_000192,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000192.fa.gz,2524513,2543,16111,True,
STRAIN_000193,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000193.fa.gz,2685399,2,2635294,True,
STRAIN_000194,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000194.fa.gz,5467641,2,5459214,True,
STRAIN_000195,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000195.fa.gz,3782950,1,3782950,True,
STRAIN_000196,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000196.fa.gz,2385164,1,2385164,True,
STRAIN_000197,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000197.fa.gz,2408831,3,2400312,True,
STRAIN_000198,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000198.fa.gz,3980199,1,3980199,True,
STRAIN_000199,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000199.fa.gz,3348624,4,3308273,True,
STRAIN_000200,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000200.fa.gz,2384987,1,2384987,True,
STRAIN_000201,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000201.fa.gz,2354088,3,2113023,True,
STRAIN_000202,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000202.fa.gz,2395764,3,2385301,True,
STRAIN_000203,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000203.fa.gz,1441470,2,1422478,True,
STRAIN_000204,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000204.fa.gz,2422684,1,2422684,True,
STRAIN_000205,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000205.fa.gz,1943113,1,1943113,True,
