strain_entity_id,current_genome_key,primary_accession,gcf_accession,gca_accession,species,strain,taxon_main,taxon_key,assembly_level,culture_collection,isolation_source,isolation_host,isolation_country,isolation_sample_type,legacy_pdb_ids,legacy_genome_uids,culture_collection_ids,local_genome_files,local_genome_file_count,old_paper_count,old_evidence_count,old_clinical_count,old_animal_count,old_in_vitro_count,probiotic_source_tags,matched_evidence_rows_v3,matched_publications_v3,matched_functions_v3,clinical_evidence_v3,animal_evidence_v3,in_vitro_evidence_v3,has_strain_resolved_evidence_v3,registry_accession_candidates,accession_source_columns,identity_match_status,identity_match_method,matched_genome_path,matched_genome_file,matched_genome_accessions,matched_valid_fasta,matched_total_bp,matched_n50,matched_contigs
STRAIN_000011,GCA_000825145.1,GCA_000825145.1,,GCA_000825145.1,Bifidobacterium longum subsp. infantis,BIB1401272845b,longum,longum|infantis,,,,,Switzerland,,PDB_001052,Bifidobacterium longum subsp. infantis||BIB1401272845b,,G:\安雄伟论文\数据\genomes\ncbi\GCA_000825145.1.fa.gz,1,0,0,0,0,0,Optibac|Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_000825145.1,"GCA_000825145.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_000825145.1.fa.gz,GCA_000825145.1.fa.gz,GCA_000825145.1,True,2786838,100267,56
STRAIN_000012,GCA_001044085.1,GCA_001044085.1,,GCA_001044085.1,Lacticaseibacillus rhamnosus,Lr053,rhamnosus,rhamnosus,Contig,,,,,,PDB_001003,Lacticaseibacillus rhamnosus||Lr053,,G:\安雄伟论文\数据\genomes\ncbi\GCA_001044085.1.fa.gz,1,1,1,0,0,0,Optibac,0,0,0,0,0,0,NO,GCA_001044085.1,"GCA_001044085.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_001044085.1.fa.gz,GCA_001044085.1.fa.gz,GCA_001044085.1,True,2724032,4854,921
STRAIN_000013,GCA_001447955.1,GCA_001447955.1,,GCA_001447955.1,Bifidobacterium longum subsp. longum,9,longum,longum|longum,,,,,USA,,PDB_001070,Bifidobacterium longum subsp. longum||9,,G:\安雄伟论文\数据\genomes\ncbi\GCA_001447955.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_001447955.1,"GCA_001447955.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_001447955.1.fa.gz,GCA_001447955.1.fa.gz,GCA_001447955.1,True,2233772,154491,31
STRAIN_000014,GCA_001447975.1,GCA_001447975.1,,GCA_001447975.1,Bifidobacterium longum subsp. longum,7,longum,longum|longum,,,,,USA,,PDB_001071,Bifidobacterium longum subsp. longum||7,,G:\安雄伟论文\数据\genomes\ncbi\GCA_001447975.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_001447975.1,"GCA_001447975.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_001447975.1.fa.gz,GCA_001447975.1.fa.gz,GCA_001447975.1,True,2235579,133967,36
STRAIN_000015,GCA_002072085.1,GCA_002072085.1,,GCA_002072085.1,Limosilactobacillus fermentum,VRI-003,fermentum,fermentum,Chromosome,,,,,,PDB_000802 | PDB_000980,Limosilactobacillus fermentum||VRI-003,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002072085.1.fa.gz,1,74,74,38,18,1,Optibac,0,0,0,0,0,0,NO,GCA_002072085.1,"GCA_002072085.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002072085.1.fa.gz,GCA_002072085.1.fa.gz,GCA_002072085.1,True,1949297,1949297,1
STRAIN_000016,GCA_002406785.1,GCA_002406785.1,,GCA_002406785.1,Lacticaseibacillus rhamnosus,P3,rhamnosus,rhamnosus,Contig,,,,,,PDB_000799,Lacticaseibacillus rhamnosus||P3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002406785.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCA_002406785.1,"GCA_002406785.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002406785.1.fa.gz,GCA_002406785.1.fa.gz,GCA_002406785.1,True,2971889,122000,76
STRAIN_000017,GCA_003047065.1,GCA_003047065.1,GCF_003047065.1,GCA_003047065.1,Lactobacillus acidophilus,DSM 20079,acidophilus,acidophilus,Complete Genome,,,,,,PDB_001042,Lactobacillus acidophilus||DSM 20079,DSM20079,G:\安雄伟论文\数据\genomes\ncbi\GCA_003047065.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCA_003047065.1 | GCF_003047065.1,"GCA_003047065.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_003047065.1:gcf_accession",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003047065.1.fa.gz,GCA_003047065.1.fa.gz,GCA_003047065.1,True,2009973,2009973,1
STRAIN_000018,GCA_003094635.1,GCA_003094635.1,,GCA_003094635.1,Bifidobacterium longum subsp. longum,DS9_3,longum,longum|longum,,,,,USA,,PDB_001072,Bifidobacterium longum subsp. longum||DS9_3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003094635.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_003094635.1,"GCA_003094635.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003094635.1.fa.gz,GCA_003094635.1.fa.gz,GCA_003094635.1,True,2397171,446423,13
STRAIN_000019,GCA_003094855.1,GCA_003094855.1,,GCA_003094855.1,Bifidobacterium longum subsp. longum,DS15_3,longum,longum|longum,,,,,USA,,PDB_001073,Bifidobacterium longum subsp. longum||DS15_3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003094855.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_003094855.1,"GCA_003094855.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003094855.1.fa.gz,GCA_003094855.1.fa.gz,GCA_003094855.1,True,2398181,407927,21
STRAIN_000020,GCA_003094935.1,GCA_003094935.1,,GCA_003094935.1,Bifidobacterium longum subsp. longum,DS18_3,longum,longum|longum,,,,,USA,,PDB_001074,Bifidobacterium longum subsp. longum||DS18_3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003094935.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_003094935.1,"GCA_003094935.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003094935.1.fa.gz,GCA_003094935.1.fa.gz,GCA_003094935.1,True,2448259,144459,174
STRAIN_000021,GCA_003094955.1,GCA_003094955.1,,GCA_003094955.1,Bifidobacterium longum subsp. longum,DS1_3,longum,longum|longum,,,,,USA,,PDB_001075,Bifidobacterium longum subsp. longum||DS1_3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003094955.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_003094955.1,"GCA_003094955.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003094955.1.fa.gz,GCA_003094955.1.fa.gz,GCA_003094955.1,True,2417279,35857,170
STRAIN_000022,GCA_003094975.1,GCA_003094975.1,,GCA_003094975.1,Bifidobacterium longum subsp. longum,DS7_3,longum,longum|longum,,,,,USA,,PDB_001076,Bifidobacterium longum subsp. longum||DS7_3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003094975.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_003094975.1,"GCA_003094975.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003094975.1.fa.gz,GCA_003094975.1.fa.gz,GCA_003094975.1,True,2237293,585360,17
STRAIN_000023,GCA_003094995.1,GCA_003094995.1,,GCA_003094995.1,Bifidobacterium longum subsp. longum,DS32_3,longum,longum|longum,,,,,USA,,PDB_001077,Bifidobacterium longum subsp. longum||DS32_3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003094995.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_003094995.1,"GCA_003094995.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003094995.1.fa.gz,GCA_003094995.1.fa.gz,GCA_003094995.1,True,2235932,399293,28
STRAIN_000024,GCA_003573955.1,GCA_003573955.1,,GCA_003573955.1,Bifidobacterium bifidum LMG 13195,JCM 7004,bifidum,bifidum,Complete Genome,,,,,,PDB_000804,Bifidobacterium bifidum LMG 13195||JCM 7004,JCM7004 | LMG13195,G:\安雄伟论文\数据\genomes\ncbi\GCA_003573955.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCA_003573955.1,"GCA_003573955.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003573955.1.fa.gz,GCA_003573955.1.fa.gz,GCA_003573955.1,True,2261666,2261666,1
STRAIN_000025,GCA_004771035.1,GCA_004771035.1,,GCA_004771035.1,Lactiplantibacillus plantarum,J26,plantarum,plantarum,Chromosome,,,,,,PDB_000793,Lactiplantibacillus plantarum||J26,,G:\安雄伟论文\数据\genomes\ncbi\GCA_004771035.1.fa.gz,1,3,3,0,2,1,,0,0,0,0,0,0,NO,GCA_004771035.1,"GCA_004771035.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_004771035.1.fa.gz,GCA_004771035.1.fa.gz,GCA_004771035.1,True,3267387,3096468,5
STRAIN_000026,GCA_008868445.1,GCA_008868445.1,,GCA_008868445.1,Bifidobacterium longum subsp. infantis,BIO5478,longum,longum|infantis,,,,,France,,PDB_001056,Bifidobacterium longum subsp. infantis||BIO5478,,G:\安雄伟论文\数据\genomes\ncbi\GCA_008868445.1.fa.gz,1,0,0,0,0,0,Optibac|Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_008868445.1,"GCA_008868445.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_008868445.1.fa.gz,GCA_008868445.1.fa.gz,GCA_008868445.1,True,2573636,212284,29
STRAIN_000027,GCA_013204895.1,GCA_013204895.1,,GCA_013204895.1,Bifidobacterium longum subsp. infantis,BI-G201,longum,longum|infantis,,,,,China,,PDB_001049,Bifidobacterium longum subsp. infantis||BI-G201,,G:\安雄伟论文\数据\genomes\ncbi\GCA_013204895.1.fa.gz,1,0,0,0,0,0,Optibac|Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_013204895.1,"GCA_013204895.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_013204895.1.fa.gz,GCA_013204895.1.fa.gz,GCA_013204895.1,True,2568669,108808,67
STRAIN_000028,GCA_013394345.1,GCA_013394345.1,,GCA_013394345.1,Lactiplantibacillus plantarum,SN13T,plantarum,plantarum,Complete Genome,,,,,,PDB_000794,Lactiplantibacillus plantarum||SN13T,,G:\安雄伟论文\数据\genomes\ncbi\GCA_013394345.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCA_013394345.1,"GCA_013394345.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_013394345.1.fa.gz,GCA_013394345.1.fa.gz,GCA_013394345.1,True,3685082,3612790,2
STRAIN_000029,GCA_017009715.1,GCA_017009715.1,GCF_017009715.1,GCA_017009715.1,Lactobacillus acidophilus,La-5,acidophilus,acidophilus,Contig,,,,,,PDB_001043,Lactobacillus acidophilus||La-5,,G:\安雄伟论文\数据\genomes\ncbi\GCA_017009715.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCA_017009715.1 | GCF_017009715.1,"GCA_017009715.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_017009715.1:gcf_accession",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_017009715.1.fa.gz,GCA_017009715.1.fa.gz,GCA_017009715.1,True,1965390,231909,19
STRAIN_000030,GCA_018140675.1,GCA_018140675.1,,GCA_018140675.1,Bifidobacterium longum subsp. infantis,BINF,longum,longum|infantis,,,,,,,PDB_001055,Bifidobacterium longum subsp. infantis||BINF,,G:\安雄伟论文\数据\genomes\ncbi\GCA_018140675.1.fa.gz,1,0,0,0,0,0,Optibac|Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_018140675.1,"GCA_018140675.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_018140675.1.fa.gz,GCA_018140675.1.fa.gz,GCA_018140675.1,True,2770240,2770240,1
STRAIN_000031,GCA_020741515.1,GCA_020741515.1,,GCA_020741515.1,Levilactobacillus brevis,12991,brevis,brevis,Contig,,,,,,PDB_000987,Levilactobacillus brevis||12991,,G:\安雄伟论文\数据\genomes\ncbi\GCA_020741515.1.fa.gz,1,19,19,0,0,0,,0,0,0,0,0,0,NO,GCA_020741515.1,"GCA_020741515.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_020741515.1.fa.gz,GCA_020741515.1.fa.gz,GCA_020741515.1,True,2318552,91113,42
STRAIN_000032,GCA_020741545.1,GCA_020741545.1,,GCA_020741545.1,Bifidobacterium animalis,CHK146-540,animalis,animalis,Contig,,,,,,PDB_000996,Bifidobacterium animalis||CHK146-540,,G:\安雄伟论文\数据\genomes\ncbi\GCA_020741545.1.fa.gz,1,1,1,0,0,0,,0,0,0,0,0,0,NO,GCA_020741545.1,"GCA_020741545.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_020741545.1.fa.gz,GCA_020741545.1.fa.gz,GCA_020741545.1,True,1746296,13041,168
STRAIN_000033,GCA_020978285.1,GCA_020978285.1,GCF_020978285.1,GCA_020978285.1,Limosilactobacillus reuteri,3632,reuteri,reuteri,Chromosome,,,,,,PDB_001044,Limosilactobacillus reuteri||3632,,G:\安雄伟论文\数据\genomes\ncbi\GCA_020978285.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCA_020978285.1 | GCF_020978285.1,"GCA_020978285.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_020978285.1:gcf_accession",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_020978285.1.fa.gz,GCA_020978285.1.fa.gz,GCA_020978285.1,True,2483413,2096356,7
STRAIN_000034,GCA_021228035.1,GCA_021228035.1,,GCA_021228035.1,Bifidobacterium longum subsp. longum,VHProbi Y08,longum,longum|longum,,,,,China,,PDB_001078,Bifidobacterium longum subsp. longum||VHProbi Y08,,G:\安雄伟论文\数据\genomes\ncbi\GCA_021228035.1.fa.gz,1,0,0,0,0,0,Cell2025_Bifi_Probio_DB,0,0,0,0,0,0,NO,GCA_021228035.1,"GCA_021228035.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_021228035.1.fa.gz,GCA_021228035.1.fa.gz,GCA_021228035.1,True,2362026,2362026,1
STRAIN_000035,GCA_021892455.1,GCA_021892455.1,,GCA_021892455.1,Lactiplantibacillus plantarum,IMAU40082,plantarum,plantarum,Scaffold,,,,,,PDB_001008,Lactiplantibacillus plantarum||IMAU40082,,G:\安雄伟论文\数据\genomes\ncbi\GCA_021892455.1.fa.gz,1,1,1,0,0,0,,0,0,0,0,0,0,NO,GCA_021892455.1,"GCA_021892455.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_021892455.1.fa.gz,GCA_021892455.1.fa.gz,GCA_021892455.1,True,3304830,241352,45
STRAIN_000036,GCA_021892795.1,GCA_021892795.1,,GCA_021892795.1,Lactiplantibacillus plantarum,IMAU80125,plantarum,plantarum,Scaffold,,,,,,PDB_001006,Lactiplantibacillus plantarum||IMAU80125,,G:\安雄伟论文\数据\genomes\ncbi\GCA_021892795.1.fa.gz,1,1,1,0,0,0,,0,0,0,0,0,0,NO,GCA_021892795.1,"GCA_021892795.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_021892795.1.fa.gz,GCA_021892795.1.fa.gz,GCA_021892795.1,True,3269344,420102,34
STRAIN_000037,GCA_021892995.1,GCA_021892995.1,,GCA_021892995.1,Lactiplantibacillus plantarum,IMAU80038,plantarum,plantarum,Scaffold,,,,,,PDB_001004,Lactiplantibacillus plantarum||IMAU80038,,G:\安雄伟论文\数据\genomes\ncbi\GCA_021892995.1.fa.gz,1,1,1,0,0,0,,0,0,0,0,0,0,NO,GCA_021892995.1,"GCA_021892995.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_021892995.1.fa.gz,GCA_021892995.1.fa.gz,GCA_021892995.1,True,3258425,130172,100
STRAIN_000038,GCA_021893075.1,GCA_021893075.1,,GCA_021893075.1,Lactiplantibacillus plantarum,IMAU80009,plantarum,plantarum,Scaffold,,,,,,PDB_000994,Lactiplantibacillus plantarum||IMAU80009,,G:\安雄伟论文\数据\genomes\ncbi\GCA_021893075.1.fa.gz,1,2,2,0,0,0,,0,0,0,0,0,0,NO,GCA_021893075.1,"GCA_021893075.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_021893075.1.fa.gz,GCA_021893075.1.fa.gz,GCA_021893075.1,True,3574108,82029,230
STRAIN_000039,GCA_021894075.1,GCA_021894075.1,,GCA_021894075.1,Lactiplantibacillus plantarum,IMAU10580,plantarum,plantarum,Scaffold,,,,,,PDB_001005,Lactiplantibacillus plantarum||IMAU10580,,G:\安雄伟论文\数据\genomes\ncbi\GCA_021894075.1.fa.gz,1,1,1,0,0,1,,0,0,0,0,0,0,NO,GCA_021894075.1,"GCA_021894075.1:current_genome_key,primary_accession,gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_021894075.1.fa.gz,GCA_021894075.1.fa.gz,GCA_021894075.1,True,3139331,199715,76
