genome_file,genome_path,file_size_bytes,accession_from_filename,accession_base,valid_fasta,contigs,total_bp,n50,largest_contig,smallest_contig,gc_percent,n_percent,error,all_path_accessions,all_path_accession_bases,n_path_accessions
GCA_000025965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000025965.1.fa.gz,1362992,GCA_000025965.1,GCA_000025965,True,3,4727255,4296230,4296230,207355,64.6976,0.0,,GCA_000025965.1,GCA_000025965,1
GCA_000025985.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000025985.1.fa.gz,1561582,GCA_000025985.1,GCA_000025985,True,2,5241700,5205140,5205140,36560,43.1142,0.0,,GCA_000025985.1,GCA_000025985,1
GCA_000026185.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000026185.1.fa.gz,1208180,GCA_000026185.1,GCA_000026185,True,6,4067864,3883467,3883467,9299,53.3906,0.0,,GCA_000026185.1,GCA_000026185,1
GCA_000026485.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000026485.1.fa.gz,916536,GCA_000026485.1,GCA_000026485,True,1,3079196,3079196,3079196,3079196,46.3357,0.0,,GCA_000026485.1,GCA_000026485,1
GCA_000026505.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000026505.1.fa.gz,893496,GCA_000026505.1,GCA_000026505,True,1,3010111,3010111,3010111,3010111,46.69,0.0,,GCA_000026505.1,GCA_000026505,1
GCA_000026525.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000026525.1.fa.gz,900731,GCA_000026525.1,GCA_000026525,True,2,3033106,2968598,2968598,64508,46.6753,0.0,,GCA_000026525.1,GCA_000026525,1
GCA_000046845.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000046845.1.fa.gz,1067383,GCA_000046845.1,GCA_000046845,True,1,3598621,3598621,3598621,3598621,40.4296,0.0,,GCA_000046845.1,GCA_000046845,1
GCA_000056065.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000056065.1.fa.gz,549673,GCA_000056065.1,GCA_000056065,True,1,1864998,1864998,1864998,1864998,49.719,0.0,,GCA_000056065.1,GCA_000056065,1
GCA_000091725.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000091725.1.fa.gz,749191,GCA_000091725.1,GCA_000091725,True,1,2616384,2616384,2616384,2616384,67.2661,0.0,,GCA_000091725.1,GCA_000091725,1
GCA_000092325.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000092325.1.fa.gz,730298,GCA_000092325.1,GCA_000092325,True,1,2477838,2477838,2477838,2477838,59.8149,0.0,,GCA_000092325.1,GCA_000092325,1
GCA_000092765.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000092765.1.fa.gz,568349,GCA_000092765.1,GCA_000092765,True,1,1944050,1944050,1944050,1944050,60.4884,0.0,,GCA_000092765.1,GCA_000092765,1
GCA_000143205.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000143205.1.fa.gz,739903,GCA_000143205.1,GCA_000143205,True,1,2530294,2530294,2530294,2530294,35.7403,0.0,,GCA_000143205.1,GCA_000143205,1
GCA_000143435.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000143435.1.fa.gz,624822,GCA_000143435.1,GCA_000143435,True,4,2136138,1828169,1828169,20426,33.0246,0.0,,GCA_000143435.1,GCA_000143435,1
GCA_000143745.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000143745.1.fa.gz,957163,GCA_000143745.1,GCA_000143745,True,9,3212261,554392,693713,7219,44.4787,0.420265,,GCA_000143745.1,GCA_000143745,1
GCA_000145235.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000145235.1.fa.gz,1934402,GCA_000145235.1,GCA_000145235,True,1,7025559,7025559,7025559,7025559,72.8221,0.0,,GCA_000145235.1,GCA_000145235,1
GCA_000146775.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000146775.1.fa.gz,777617,GCA_000146775.1,GCA_000146775,True,10,2645781,2431709,2431709,522,58.4522,0.453741,,GCA_000146775.1,GCA_000146775,1
GCA_000148815.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000148815.2.fa.gz,986598,GCA_000148815.2,GCA_000148815,True,2,3307936,3254376,3254376,53560,44.4812,0.0,,GCA_000148815.2,GCA_000148815,1
GCA_000154085.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000154085.1.fa.gz,701288,GCA_000154085.1,GCA_000154085,True,40,2389110,604548,994221,632,59.3342,0.142312,,GCA_000154085.1,GCA_000154085,1
GCA_000154765.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000154765.2.fa.gz,1246646,GCA_000154765.2,GCA_000154765,True,4,4227134,3821831,3821831,65245,59.8236,0.0,,GCA_000154765.2,GCA_000154765,1
GCA_000155355.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000155355.1.fa.gz,1240685,GCA_000155355.1,GCA_000155355,True,1,4187615,4187615,4187615,4187615,43.4948,0.007283,,GCA_000155355.1,GCA_000155355,1
GCA_000155375.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000155375.1.fa.gz,1248483,GCA_000155375.1,GCA_000155375,True,1,4214643,4214643,4214643,4214643,43.5131,0.007237,,GCA_000155375.1,GCA_000155375,1
GCA_000155395.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000155395.1.fa.gz,638761,GCA_000155395.1,GCA_000155395,True,9,2202695,1497472,1497472,603,62.8164,0.752351,,GCA_000155395.1,GCA_000155395,1
GCA_000155515.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000155515.2.fa.gz,900721,GCA_000155515.2,GCA_000155515,True,3,3025352,2939026,2939026,24207,46.297,0.0,,GCA_000155515.2,GCA_000155515,1
GCA_000158015.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000158015.1.fa.gz,691029,GCA_000158015.1,GCA_000158015,True,103,2331386,1384428,1384428,500,58.4659,0.06005,,GCA_000158015.1,GCA_000158015,1
GCA_000159215.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000159215.1.fa.gz,539016,GCA_000159215.1,GCA_000159215,True,74,1867005,219560,342590,202,52.7759,3.752373,,GCA_000159215.1,GCA_000159215,1
GCA_000159395.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000159395.1.fa.gz,581884,GCA_000159395.1,GCA_000159395,True,32,2017251,365789,747243,223,32.5501,1.060007,,GCA_000159395.1,GCA_000159395,1
GCA_000159455.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000159455.2.fa.gz,679105,GCA_000159455.2,GCA_000159455,True,5,2316838,2264399,2264399,7047,39.035,0.0,,GCA_000159455.2,GCA_000159455,1
GCA_000159715.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000159715.1.fa.gz,587265,GCA_000159715.1,GCA_000159715,True,38,2020500,1227701,1227701,202,34.5866,1.031329,,GCA_000159715.1,GCA_000159715,1
GCA_000160715.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000160715.1.fa.gz,582036,GCA_000160715.1,GCA_000160715,True,95,2015721,311028,795806,201,38.6913,3.584623,,GCA_000160715.1,GCA_000160715,1
GCA_000164965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000164965.1.fa.gz,636581,GCA_000164965.1,GCA_000164965,True,1,2186882,2186882,2186882,2186882,62.7584,0.0,,GCA_000164965.1,GCA_000164965,1
GCA_000165775.3.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000165775.3.fa.gz,623427,GCA_000165775.3,GCA_000165775,True,1,2129206,2129206,2129206,2129206,36.7959,0.000141,,GCA_000165775.3,GCA_000165775,1
GCA_000165885.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000165885.1.fa.gz,672641,GCA_000165885.1,GCA_000165885,True,25,2364583,179853,477166,7630,37.0647,2.753382,,GCA_000165885.1,GCA_000165885,1
GCA_000165905.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000165905.1.fa.gz,645019,GCA_000165905.1,GCA_000165905,True,1,2214656,2214656,2214656,2214656,62.6664,0.0,,GCA_000165905.1,GCA_000165905,1
GCA_000166315.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000166315.1.fa.gz,668390,GCA_000166315.1,GCA_000166315,True,1,2265943,2265943,2265943,2265943,59.946,0.0,,GCA_000166315.1,GCA_000166315,1
GCA_000168255.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000168255.1.fa.gz,679022,GCA_000168255.1,GCA_000168255,True,2,2305557,1576206,1576206,729351,38.7286,0.000173,,GCA_000168255.1,GCA_000168255,1
GCA_000173255.3.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000173255.3.fa.gz,887236,GCA_000173255.3,GCA_000173255,True,2,2992972,2961421,2961421,31551,46.7621,0.0,,GCA_000173255.3,GCA_000173255,1
GCA_000175935.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000175935.2.fa.gz,1870155,GCA_000175935.2,GCA_000175935,True,6,6312783,4368708,4368708,116877,54.3324,0.0,,GCA_000175935.2,GCA_000175935,1
GCA_000182835.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000182835.1.fa.gz,628294,GCA_000182835.1,GCA_000182835,True,2,2131976,2125753,2125753,6223,49.5434,0.0,,GCA_000182835.1,GCA_000182835,1
GCA_000182875.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000182875.1.fa.gz,542325,GCA_000182875.1,GCA_000182875,True,1,1831949,1831949,1831949,1831949,39.0479,0.0,,GCA_000182875.1,GCA_000182875,1
GCA_000186085.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000186085.1.fa.gz,1273079,GCA_000186085.1,GCA_000186085,True,80,4292969,4214598,4214598,100,43.355,0.005055,,GCA_000186085.1,GCA_000186085,1
GCA_000187705.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_000187705.1.fa.gz,1666109,GCA_000187705.1,GCA_000187705,True,3,5614252,4864217,4864217,133486,52.2199,0.0,,GCA_000187705.1,GCA_000187705,1
GCA_000189515.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000189515.1.fa.gz,636223,GCA_000189515.1,GCA_000189515,True,2,2172383,2145899,2145899,26484,36.7881,0.0,,GCA_000189515.1,GCA_000189515,1
GCA_000191165.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_000191165.1.fa.gz,550688,GCA_000191165.1,GCA_000191165,True,1,1872918,1872918,1872918,1872918,49.6801,0.0,,GCA_000191165.1,GCA_000191165,1
