strain_entity_id,canonical_genome_path,total_bp_x,contigs,largest_contig_bp_x,skani_compatible,exclusion_reason,learned_nearclone_block,raw_nearclone_block,FINAL_nearclone_99_5_block,learned_lineage95_block,raw_lineage95_block,FINAL_lineage_95_block,source_genome_path,normalized_genome_path,n_contigs,total_bp_y,largest_contig_bp_y,normalization_status,parse_status,n_genes,n_contigs_with_genes,partial_genes,internal_stop_proteins,coordinate_length_mismatches,median_protein_length_aa,partial_gene_fraction,gene_call_qc,global_gene_count_extreme,stage02_1_decision
STRAIN_000018,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000018.fa.gz,2397171,13,540387,True,,LNC_0027,RNC_0027,NC_0027,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000018.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000018.fna.gz,13,2397171,540387,PASS,PASS,2017,11,7,0,0,302.0,0.0034705007436787,PASS,False,KEEP
STRAIN_000019,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000019.fa.gz,2398181,21,527990,True,,LNC_0027,RNC_0027,NC_0027,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000019.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000019.fna.gz,21,2398181,527990,PASS,PASS,2020,17,14,0,0,302.0,0.0069306930693069,PASS,False,KEEP
STRAIN_000020,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000020.fa.gz,2448259,174,327963,True,,LNC_0027,RNC_0027,NC_0027,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000020.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000020.fna.gz,174,2448259,327963,PASS,PASS,2128,123,126,0,0,287.0,0.0592105263157894,PASS,False,KEEP
STRAIN_000021,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000021.fa.gz,2417279,170,197754,True,,LNC_0027,RNC_0027,NC_0027,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000021.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000021.fna.gz,170,2417279,197754,PASS,PASS,2162,169,267,0,0,285.0,0.1234967622571692,PASS,False,KEEP
STRAIN_000022,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000022.fa.gz,2237293,17,615733,True,,LNC_0034,RNC_0035,NC_0035,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000022.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000022.fna.gz,17,2237293,615733,PASS,PASS,1815,15,5,0,0,316.0,0.0027548209366391,PASS,False,KEEP
STRAIN_000023,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000023.fa.gz,2235932,28,731416,True,,LNC_0115,RNC_0109,NC_0109,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000023.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000023.fna.gz,28,2235932,731416,PASS,PASS,1810,26,17,0,0,316.0,0.0093922651933701,PASS,False,KEEP
STRAIN_000024,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000024.fa.gz,2261666,1,2261666,True,,LNC_0116,RNC_0110,NC_0110,LANI95_0013,RANI95_0013,ANI95_0013,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000024.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000024.fna.gz,1,2261666,2261666,PASS,PASS,1977,1,2,0,0,265.0,0.0010116337885685,PASS,False,KEEP
STRAIN_000025,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000025.fa.gz,3267387,5,3096468,True,,LNC_0006,RNC_0008,NC_0008,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000025.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000025.fna.gz,5,3267387,3096468,PASS,PASS,3191,5,4,0,0,244.0,0.0012535255405828,PASS,False,KEEP
STRAIN_000026,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000026.fa.gz,2573636,29,495401,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000026.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000026.fna.gz,29,2573636,495401,PASS,PASS,2241,27,27,0,0,291.0,0.0120481927710843,PASS,False,KEEP
STRAIN_000027,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000027.fa.gz,2568669,67,291975,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000027.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000027.fna.gz,67,2568669,291975,PASS,PASS,2232,56,38,0,0,290.0,0.0170250896057347,PASS,False,KEEP
STRAIN_000028,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000028.fa.gz,3685082,2,3612790,True,,LNC_0117,RNC_0111,NC_0111,LANI95_0029,RANI95_0030,ANI95_0030,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000028.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000028.fna.gz,2,3685082,3612790,PASS,PASS,3471,2,0,0,0,243.0,0.0,PASS,False,KEEP
STRAIN_000029,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000029.fa.gz,1965390,19,676265,True,,LNC_0001,RNC_0002,NC_0002,LANI95_0010,RANI95_0010,ANI95_0010,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000029.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000029.fna.gz,19,1965390,676265,PASS,PASS,1856,18,6,0,0,271.0,0.0032327586206896,PASS,False,KEEP
STRAIN_000030,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000030.fa.gz,2770240,1,2770240,True,,LNC_0048,RNC_0045,NC_0045,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000030.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000030.fna.gz,1,2770240,2770240,PASS,PASS,2460,1,0,0,0,282.5,0.0,PASS,False,KEEP
STRAIN_000031,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000031.fa.gz,2318552,42,277638,True,,LNC_0118,RNC_0112,NC_0112,LANI95_0009,RANI95_0009,ANI95_0009,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000031.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000031.fna.gz,42,2318552,277638,PASS,PASS,2269,42,40,0,0,258.0,0.0176289114147201,PASS,False,KEEP
STRAIN_000032,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000032.fa.gz,1746296,168,71795,True,,LNC_0119,RNC_0113,NC_0113,LANI95_0011,RANI95_0011,ANI95_0011,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000032.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000032.fna.gz,168,1746296,71795,PASS,PASS,1535,168,236,0,0,289.0,0.1537459283387622,PASS,False,KEEP
STRAIN_000033,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000033.fa.gz,2483413,7,2096356,True,,LNC_0070,RNC_0065,NC_0065,LANI95_0006,RANI95_0006,ANI95_0006,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000033.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000033.fna.gz,7,2483413,2096356,PASS,PASS,2599,7,9,0,0,223.0,0.0034628703347441,PASS,False,KEEP
STRAIN_000034,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000034.fa.gz,2362026,1,2362026,True,,LNC_0120,RNC_0114,NC_0114,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000034.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000034.fna.gz,1,2362026,2362026,PASS,PASS,1972,1,1,0,0,302.0,0.0005070993914807,PASS,False,KEEP
STRAIN_000035,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000035.fa.gz,3304830,45,533836,True,,LNC_0071,RNC_0066,NC_0066,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000035.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000035.fna.gz,45,3304830,533836,PASS,PASS,3132,42,25,0,0,257.5,0.0079821200510855,PASS,False,KEEP
STRAIN_000036,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000036.fa.gz,3269344,34,866323,True,,LNC_0072,RNC_0067,NC_0067,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000036.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000036.fna.gz,34,3269344,866323,PASS,PASS,3069,29,17,0,0,260.0,0.0055392636037797,PASS,False,KEEP
STRAIN_000037,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000037.fa.gz,3258425,100,315737,True,,LNC_0049,RNC_0046,NC_0046,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000037.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000037.fna.gz,100,3258425,315737,PASS,PASS,3098,93,34,0,0,254.0,0.0109748224661071,PASS,False,KEEP
STRAIN_000038,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000038.fa.gz,3574108,230,267423,True,,LNC_0007,RNC_0006,NC_0006,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000038.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000038.fna.gz,230,3574108,267423,PASS,PASS,3591,210,171,0,0,237.0,0.0476190476190476,PASS,False,KEEP
STRAIN_000039,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000039.fa.gz,3139331,76,675170,True,,LNC_0008,RNC_0009,NC_0009,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000039.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000039.fna.gz,76,3139331,675170,PASS,PASS,2980,68,60,0,0,254.0,0.0201342281879194,PASS,False,KEEP
STRAIN_000040,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000040.fa.gz,3281998,111,263633,True,,LNC_0121,RNC_0115,NC_0115,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000040.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000040.fna.gz,111,3281998,263633,PASS,PASS,3167,105,65,0,0,250.0,0.0205241553520682,PASS,False,KEEP
STRAIN_000041,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000041.fa.gz,3256146,202,231111,True,,LNC_0008,RNC_0009,NC_0009,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000041.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000041.fna.gz,202,3256146,231111,PASS,PASS,3193,182,104,0,0,243.0,0.0325712496085186,PASS,False,KEEP
STRAIN_000042,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000042.fa.gz,3122460,109,252431,True,,LNC_0008,RNC_0009,NC_0009,LANI95_0001,RANI95_0001,ANI95_0001,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000042.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000042.fna.gz,109,3122460,252431,PASS,PASS,2977,101,49,0,0,252.0,0.0164595230097413,PASS,False,KEEP
STRAIN_000043,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000043.fa.gz,2245287,584,30179,True,,LNC_0122,RNC_0116,NC_0116,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000043.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000043.fna.gz,584,2245287,30179,PASS,PASS,2288,583,851,0,0,255.5,0.3719405594405594,WARN:HIGH_PARTIAL_GENE_FRACTION,False,KEEP_PENDING_QC_REVIEW
STRAIN_000044,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000044.fa.gz,1539439,144,68089,True,,LNC_0123,RNC_0117,NC_0117,LANI95_0021,RANI95_0021,ANI95_0021,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000044.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000044.fna.gz,144,1539439,68089,PASS,PASS,1607,144,105,0,0,251.0,0.0653391412570006,PASS,False,KEEP
STRAIN_000045,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000045.fa.gz,2604558,1,2604558,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000045.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000045.fna.gz,1,2604558,2604558,PASS,PASS,2235,1,1,0,0,293.0,0.0004474272930648,PASS,False,KEEP
STRAIN_000046,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000046.fa.gz,2612005,1,2612005,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000046.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000046.fna.gz,1,2612005,2612005,PASS,PASS,2244,1,0,0,0,293.0,0.0,PASS,False,KEEP
STRAIN_000047,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000047.fa.gz,2604549,1,2604549,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000047.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000047.fna.gz,1,2604549,2604549,PASS,PASS,2237,1,1,0,0,293.0,0.0004470272686633,PASS,False,KEEP
STRAIN_000048,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000048.fa.gz,2758198,1,2758198,True,,LNC_0048,RNC_0045,NC_0045,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000048.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000048.fna.gz,1,2758198,2758198,PASS,PASS,2447,1,1,0,0,284.0,0.0004086636697997,PASS,False,KEEP
STRAIN_000049,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000049.fa.gz,2609031,1,2609031,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000049.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000049.fna.gz,1,2609031,2609031,PASS,PASS,2240,1,1,0,0,293.0,0.0004464285714285,PASS,False,KEEP
STRAIN_000050,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000050.fa.gz,2604570,1,2604570,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000050.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000050.fna.gz,1,2604570,2604570,PASS,PASS,2239,1,1,0,0,292.0,0.0004466279589102,PASS,False,KEEP
STRAIN_000051,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000051.fa.gz,2612382,1,2612382,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000051.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000051.fna.gz,1,2612382,2612382,PASS,PASS,2243,1,1,0,0,293.0,0.0004458314757021,PASS,False,KEEP
STRAIN_000052,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000052.fa.gz,2604585,1,2604585,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000052.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000052.fna.gz,1,2604585,2604585,PASS,PASS,2238,1,1,0,0,292.5,0.0004468275245755,PASS,False,KEEP
STRAIN_000053,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000053.fa.gz,2614802,1,2614802,True,,LNC_0010,RNC_0011,NC_0011,LANI95_0002,RANI95_0002,ANI95_0002,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000053.fa.gz,/root/autodl-tmp/axw/02_gene_order/01_normalized_genomes/STRAIN_000053.fna.gz,1,2614802,2614802,PASS,PASS,2242,1,1,0,0,293.5,0.0004460303300624,PASS,False,KEEP
